tasks;valid;ngram;duration;length;assistant
1;0;0;5.166966666666666;19;Evaluated_Bluesky
3;0;0;1.5615833333333333;13;Evaluated_Bluesky
4;1;74;1.9211333333333334;14;Evaluated_Bluesky
5;2;129;1.7698333333333334;13;Evaluated_Bluesky
6;3;193;2.3893833333333334;14;Evaluated_Bluesky
7;4;265;2.0077333333333334;17;Evaluated_Bluesky
8;5;326;1.2771;14;Evaluated_Bluesky
9;6;438;2.951416666666667;24;Evaluated_Bluesky
10;7;484;1.4271833333333332;13;Evaluated_Bluesky
11;8;613;3.0136833333333333;24;Evaluated_Bluesky
12;9;652;2.4840666666666666;12;Evaluated_Bluesky
13;10;824;5.257616666666666;31;Evaluated_Bluesky
14;11;891;5.389183333333333;32;Evaluated_Bluesky
15;12;919;1.6219333333333332;16;Evaluated_Bluesky
16;13;1064;1.1882833333333334;10;Evaluated_Bluesky
17;14;1202;2.7398833333333332;28;Evaluated_Bluesky
18;15;1235;3.728466666666667;26;Evaluated_Bluesky
19;16;1296;3.08395;11;Evaluated_Bluesky
20;17;1352;7.200616666666667;13;Evaluated_Bluesky
21;18;1397;1.3958;13;Evaluated_Bluesky
22;19;1449;1.82435;14;Evaluated_Bluesky
23;20;1483;3.4013;14;Evaluated_Bluesky
24;21;1513;3.7045333333333335;11;Evaluated_Bluesky
25;21;1513;1.3865333333333334;10;Evaluated_Bluesky
26;21;1513;2.63585;9;Evaluated_Bluesky
27;21;1513;1.0792666666666666;8;Evaluated_Bluesky
28;22;1562;1.5267166666666667;8;Evaluated_Bluesky
29;23;1605;1.4851666666666667;12;Evaluated_Bluesky
30;24;1638;0.9650333333333333;11;Evaluated_Bluesky
31;25;1693;1.0461666666666667;10;Evaluated_Bluesky
32;26;1721;1.3521;13;Evaluated_Bluesky
33;26;1721;1.0184333333333333;10;Evaluated_Bluesky
34;26;1721;1.4081;12;Evaluated_Bluesky
35;26;1721;6.9945;18;Evaluated_Bluesky
36;26;1721;1.5942166666666666;8;Evaluated_Bluesky
37;26;1721;1.0590666666666666;10;Evaluated_Bluesky
38;26;1721;1.4602666666666666;11;Evaluated_Bluesky
39;27;1738;1.87145;12;Evaluated_Bluesky
40;27;1738;3.2964166666666666;13;Evaluated_Bluesky
41;27;1738;3.858833333333333;15;Evaluated_Bluesky
42;27;1738;5.2557;18;Evaluated_Bluesky
43;27;1738;5.269316666666667;19;Evaluated_Bluesky
44;27;1738;1.2312833333333333;8;Evaluated_Bluesky
45;27;1738;1.6669833333333333;10;Evaluated_Bluesky
46;27;1738;1.9458;11;Evaluated_Bluesky
47;27;1738;2.1569666666666665;12;Evaluated_Bluesky
48;27;1738;2.53855;13;Evaluated_Bluesky
49;27;1738;1.62735;8;Evaluated_Bluesky
50;28;1763;1.18915;10;Evaluated_Bluesky
51;29;1792;0.7750166666666667;9;Evaluated_Bluesky
52;30;1834;2.8958;14;Evaluated_Bluesky
53;31;1860;3.044783333333333;15;Evaluated_Bluesky
54;32;1885;1.8488166666666668;12;Evaluated_Bluesky
55;33;1937;1.82645;8;Evaluated_Bluesky
56;33;1937;1.1702;9;Evaluated_Bluesky
57;34;1963;1.2541166666666668;7;Evaluated_Bluesky
58;34;1963;0.7199666666666666;7;Evaluated_Bluesky
59;35;1989;0.8320166666666666;8;Evaluated_Bluesky
60;36;2015;0.9436;9;Evaluated_Bluesky
61;37;2041;0.9201166666666667;5;Evaluated_Bluesky
62;37;2041;0.29178333333333334;3;Evaluated_Bluesky
63;38;2067;1.4288166666666666;8;Evaluated_Bluesky
64;39;2092;1.0093333333333334;10;Evaluated_Bluesky
65;40;2112;1.0558666666666667;11;Evaluated_Bluesky
66;40;2112;0.8894666666666666;10;Evaluated_Bluesky
67;41;2137;1.04575;12;Evaluated_Bluesky
68;42;2170;1.1816;10;Evaluated_Bluesky
69;43;2203;1.37485;10;Evaluated_Bluesky
70;44;2223;1.45915;14;Evaluated_Bluesky
71;44;2223;0.7015833333333333;8;Evaluated_Bluesky
72;44;2223;1.6156166666666667;10;Evaluated_Bluesky
73;44;2223;0.9635666666666667;8;Evaluated_Bluesky
74;44;2223;1.0792;10;Evaluated_Bluesky
75;44;2223;0.8473166666666667;10;Evaluated_Bluesky
76;44;2223;0.7293;10;Evaluated_Bluesky
77;44;2223;0.4582833333333333;9;Evaluated_Bluesky
78;44;2223;0.5709666666666666;10;Evaluated_Bluesky
79;44;2223;0.6561666666666667;10;Evaluated_Bluesky
80;44;2223;0.6657166666666666;10;Evaluated_Bluesky
81;45;2250;0.10975;3;Evaluated_Bluesky
82;45;2250;0.8025166666666667;10;Evaluated_Bluesky
83;45;2250;0.9411166666666667;11;Evaluated_Bluesky
84;45;2250;0.8656333333333334;11;Evaluated_Bluesky
85;45;2250;1.1184333333333334;14;Evaluated_Bluesky
86;46;2276;0.7667166666666667;10;Evaluated_Bluesky
88;47;2302;0.8622833333333333;10;Evaluated_Bluesky
89;48;2328;0.9357;9;Evaluated_Bluesky
90;48;2328;1.2148;12;Evaluated_Bluesky
91;48;2328;0.7998333333333333;8;Evaluated_Bluesky
92;49;2369;0.9233333333333333;11;Evaluated_Bluesky
93;49;2369;1.0034;10;Evaluated_Bluesky
94;50;2417;0.9484333333333334;9;Evaluated_Bluesky
95;51;2489;3.28155;21;Evaluated_Bluesky
96;52;2549;0.91;10;Evaluated_Bluesky
97;53;2606;6.9404;9;Evaluated_Bluesky
98;54;2658;2.543266666666667;8;Evaluated_Bluesky
99;55;2730;2.06905;11;Evaluated_Bluesky
100;56;2809;2.101783333333333;12;Evaluated_Bluesky
1;1;57;2.141566666666667;12;Evaluated_Rainbow
2;1;57;2.2251666666666665;13;Evaluated_Rainbow
3;1;57;1.4100166666666667;8;Evaluated_Rainbow
4;2;153;3.642316666666667;8;Evaluated_Rainbow
5;2;153;6.5919;21;Evaluated_Rainbow
6;3;206;6.771483333333333;22;Evaluated_Rainbow
7;4;270;1.9247666666666667;9;Evaluated_Rainbow
8;4;270;3.7838166666666666;13;Evaluated_Rainbow
9;5;303;4.0045166666666665;15;Evaluated_Rainbow
10;6;373;4.1089;16;Evaluated_Rainbow
11;6;373;6.9771;42;Evaluated_Rainbow
12;7;404;1.03825;11;Evaluated_Rainbow
13;8;458;1.7941333333333334;16;Evaluated_Rainbow
14;8;458;0.86515;10;Evaluated_Rainbow
15;9;484;0.9206833333333333;10;Evaluated_Rainbow
16;9;484;2.48175;19;Evaluated_Rainbow
17;10;515;5.42075;15;Evaluated_Rainbow
18;11;541;0.7086166666666667;10;Evaluated_Rainbow
19;11;541;2.3529166666666668;13;Evaluated_Rainbow
20;12;572;1.0683;10;Evaluated_Rainbow
21;13;603;0.75305;10;Evaluated_Rainbow
22;13;603;2.6559666666666666;18;Evaluated_Rainbow
23;14;664;0.82615;10;Evaluated_Rainbow
24;15;695;0.70255;10;Evaluated_Rainbow
25;16;754;3.4948333333333332;32;Evaluated_Rainbow
26;17;790;1.7652166666666667;15;Evaluated_Rainbow
27;17;790;0.7986333333333333;10;Evaluated_Rainbow
28;18;847;2.3769;12;Evaluated_Rainbow
29;19;881;1.0936833333333333;11;Evaluated_Rainbow
30;19;881;5.054716666666667;13;Evaluated_Rainbow
31;19;881;1.7818833333333333;12;Evaluated_Rainbow
32;19;881;1.6139666666666668;18;Evaluated_Rainbow
33;20;923;1.4667;8;Evaluated_Rainbow
34;20;923;2.3621166666666666;13;Evaluated_Rainbow
35;21;952;1.46335;9;Evaluated_Rainbow
36;22;1026;1.5024;10;Evaluated_Rainbow
37;22;1026;1.7715833333333333;9;Evaluated_Rainbow
38;23;1140;1.3718;9;Evaluated_Rainbow
39;23;1140;2.0902666666666665;16;Evaluated_Rainbow
40;23;1140;1.0095166666666666;10;Evaluated_Rainbow
41;23;1140;1.3757166666666667;23;Evaluated_Rainbow
42;23;1140;1.19745;14;Evaluated_Rainbow
43;23;1140;1.1898;27;Evaluated_Rainbow
44;23;1140;1.99605;24;Evaluated_Rainbow
45;23;1140;1.4689833333333333;12;Evaluated_Rainbow
46;24;1177;1.53075;29;Evaluated_Rainbow
47;25;1215;1.39965;21;Evaluated_Rainbow
48;26;1244;1.0695166666666667;21;Evaluated_Rainbow
50;28;1306;4.0306;12;Evaluated_Rainbow
51;29;1329;4.03085;13;Evaluated_Rainbow
52;30;1352;3.724483333333333;11;Evaluated_Rainbow
53;31;1407;4.78885;10;Evaluated_Rainbow
54;32;1438;4.435;11;Evaluated_Rainbow
55;33;1461;3.1203;10;Evaluated_Rainbow
56;34;1604;4.603383333333333;10;Evaluated_Rainbow
57;35;1685;5.920766666666666;19;Evaluated_Rainbow
58;36;1730;8.042583333333333;15;Evaluated_Rainbow
59;37;1779;3.2758833333333333;10;Evaluated_Rainbow
60;38;1831;2.5481333333333334;29;Evaluated_Rainbow
61;39;1985;2.469866666666667;18;Evaluated_Rainbow
62;40;2037;1.1558666666666666;13;Evaluated_Rainbow
63;41;2122;1.7051166666666666;13;Evaluated_Rainbow
64;41;2122;1.3346833333333334;14;Evaluated_Rainbow
65;42;2323;6.496383333333333;37;Evaluated_Rainbow
66;43;2413;1.4687166666666667;13;Evaluated_Rainbow
67;44;2545;1.3017166666666666;18;Evaluated_Rainbow
68;45;2569;3.6258833333333333;47;Evaluated_Rainbow
69;46;2628;3.460916666666667;38;Evaluated_Rainbow
70;47;2650;1.53285;20;Evaluated_Rainbow
71;48;2684;8.1948;31;Evaluated_Rainbow
72;49;2707;3.6356;11;Evaluated_Rainbow
73;50;2753;6.2228666666666665;17;Evaluated_Rainbow
74;51;2791;3.8394166666666667;10;Evaluated_Rainbow
75;52;2814;5.8435;28;Evaluated_Rainbow
76;53;2849;3.78935;10;Evaluated_Rainbow
77;54;2885;6.312966666666667;14;Evaluated_Rainbow
78;54;2885;9.091633333333334;14;Evaluated_Rainbow
79;55;2938;6.222733333333333;10;Evaluated_Rainbow
81;57;2977;4.803916666666667;13;Evaluated_Rainbow
82;58;3009;1.0222833333333334;4;Evaluated_Rainbow
83;58;3009;1.69895;14;Evaluated_Rainbow
84;58;3009;1.6474666666666666;10;Evaluated_Rainbow
85;58;3009;2.2699666666666665;10;Evaluated_Rainbow
86;58;3009;1.5508;12;Evaluated_Rainbow
87;59;3050;0.97695;10;Evaluated_Rainbow
88;60;3111;1.5148;12;Evaluated_Rainbow
89;61;3159;1.8982666666666668;12;Evaluated_Rainbow
90;62;3210;2.2749;24;Evaluated_Rainbow
91;63;3244;1.8150333333333333;17;Evaluated_Rainbow
92;63;3244;1.9913166666666666;19;Evaluated_Rainbow
93;63;3244;1.4224;20;Evaluated_Rainbow
94;63;3244;2.3787666666666665;18;Evaluated_Rainbow
95;63;3244;2.134116666666667;24;Evaluated_Rainbow
96;63;3244;2.89655;18;Evaluated_Rainbow
97;64;3270;2.0610833333333334;15;Evaluated_Rainbow
98;65;3327;0.5230666666666667;3;Evaluated_Rainbow
99;66;3412;0.5713333333333334;10;Evaluated_Rainbow
100;67;3458;2.2524;17;Evaluated_Rainbow
1;1;52;1.4556333333333333;10;Bluesky
2;1;52;2.270033333333333;10;Bluesky
3;2;108;3.1148333333333333;13;Bluesky
4;3;144;1.948;12;Bluesky
5;4;212;2.6572;15;Bluesky
6;5;253;2.6677833333333334;30;Bluesky
7;6;332;2.215133333333333;18;Bluesky
8;6;332;1.8975666666666666;18;Bluesky
9;7;404;1.4590833333333333;16;Bluesky
10;7;404;1.9297166666666667;14;Bluesky
11;8;471;1.9667333333333332;19;Bluesky
12;9;528;1.9235;15;Bluesky
13;10;570;1.2753333333333334;15;Bluesky
14;11;640;1.9736833333333332;15;Bluesky
15;12;713;2.4883333333333333;20;Bluesky
16;13;739;1.1484666666666667;10;Bluesky
17;13;739;0.8293833333333334;9;Bluesky
18;13;739;0.7837;11;Bluesky
19;14;767;0.5818333333333333;10;Bluesky
20;14;767;0.6227666666666667;8;Bluesky
21;15;793;0.7019666666666666;10;Bluesky
22;15;793;0.61055;10;Bluesky
23;16;865;1.1362666666666668;16;Bluesky
24;16;865;1.1099166666666667;13;Bluesky
25;16;865;0.7163;9;Bluesky
26;16;865;1.2167;8;Bluesky
27;17;887;0.7412666666666666;9;Bluesky
28;18;915;1.7027;10;Bluesky
29;19;949;2.78805;10;Bluesky
30;20;1005;2.3133833333333333;14;Bluesky
31;20;1005;1.82435;9;Bluesky
32;21;1036;0.9043166666666667;9;Bluesky
33;22;1062;0.8452333333333333;10;Bluesky
34;23;1105;1.6847666666666667;12;Bluesky
35;24;1153;1.8491;12;Bluesky
36;24;1153;0.9919;9;Bluesky
37;25;1179;1.1765166666666667;10;Bluesky
38;25;1179;1.7714833333333333;11;Bluesky
39;25;1179;1.5758833333333333;11;Bluesky
40;26;1203;0.9441166666666667;10;Bluesky
41;26;1203;1.2441333333333333;9;Bluesky
42;27;1230;2.8932166666666665;12;Bluesky
43;28;1289;2.5316833333333335;17;Bluesky
44;29;1325;1.5220166666666666;11;Bluesky
45;30;1388;1.9242833333333333;16;Bluesky
46;31;1421;1.4382;11;Bluesky
47;31;1421;1.1056666666666666;10;Bluesky
48;32;1460;1.2848833333333334;11;Bluesky
49;32;1460;0.9891666666666666;9;Bluesky
50;32;1460;1.1786833333333333;10;Bluesky
51;33;1507;1.38465;13;Bluesky
52;34;1543;1.2903166666666666;11;Bluesky
53;34;1543;1.2049166666666666;11;Bluesky
54;35;1572;1.1756666666666666;13;Bluesky
55;35;1572;1.3368166666666668;11;Bluesky
56;35;1572;1.2465;11;Bluesky
57;36;1640;1.8099166666666666;15;Bluesky
58;36;1640;1.0259166666666666;11;Bluesky
59;36;1640;1.05145;12;Bluesky
60;37;1671;1.7326333333333332;10;Bluesky
61;38;1701;1.1978;9;Bluesky
62;39;1732;1.4355166666666668;10;Bluesky
63;40;1775;1.8919333333333332;12;Bluesky
64;41;1800;1.5526833333333334;9;Bluesky
65;42;1835;1.48405;10;Bluesky
66;43;1869;1.87555;10;Bluesky
67;44;1897;1.4519166666666667;9;Bluesky
68;45;1925;1.2179166666666668;10;Bluesky
69;46;1972;2.2536;13;Bluesky
70;46;1972;1.133;10;Bluesky
71;46;1972;0.9619333333333333;11;Bluesky
72;46;1972;4.086133333333334;8;Bluesky
73;46;1972;2.44625;11;Bluesky
74;46;1972;2.1294666666666666;13;Bluesky
75;46;1972;2.40125;15;Bluesky
76;46;1972;1.2551166666666667;10;Bluesky
77;46;1972;1.7608666666666666;9;Bluesky
78;46;1972;1.8238666666666667;13;Bluesky
79;46;1972;1.4539166666666667;10;Bluesky
80;46;1972;3.2903333333333333;14;Bluesky
81;46;1972;2.45465;17;Bluesky
82;46;1972;2.073583333333333;13;Bluesky
83;46;1972;3.0515166666666667;20;Bluesky
84;46;1972;2.3975833333333334;18;Bluesky
85;47;2033;2.4103;14;Bluesky
86;48;2073;1.7028333333333334;16;Bluesky
87;48;2073;1.8440166666666666;13;Bluesky
88;49;2163;2.2897166666666666;18;Bluesky
89;50;2208;2.3795166666666665;25;Bluesky
90;50;2208;1.2039;19;Bluesky
91;51;2358;4.6735;33;Bluesky
92;52;2384;2.0946166666666666;9;Bluesky
93;53;2446;1.2426666666666666;21;Bluesky
94;53;2446;1.2772833333333333;13;Bluesky
95;54;2486;2.5300166666666666;13;Bluesky
96;55;2542;1.0189666666666666;13;Bluesky
97;56;2569;7.7304;9;Bluesky
98;56;2569;4.047833333333333;10;Bluesky
99;56;2569;1.5533;8;Bluesky
100;56;2569;1.4884666666666666;8;Bluesky
1;1;44;7.109066666666667;10;Rainbow
2;1;44;2.08155;9;Rainbow
3;1;44;2.02765;16;Rainbow
4;1;44;2.19835;13;Rainbow
5;1;44;2.6820666666666666;14;Rainbow
6;1;44;2.8143833333333332;11;Rainbow
7;2;96;2.0674;12;Rainbow
8;2;96;6.16745;24;Rainbow
9;3;286;6.14465;33;Rainbow
10;4;321;1.6555833333333334;12;Rainbow
11;5;364;2.3478166666666667;12;Rainbow
12;6;419;2.0761;14;Rainbow
13;7;482;2.117366666666667;15;Rainbow
14;7;482;2.1421166666666664;16;Rainbow
15;7;482;2.3095;14;Rainbow
16;8;541;3.2708;12;Rainbow
17;8;541;2.4301;11;Rainbow
18;9;683;2.21155;13;Rainbow
19;9;683;3.9020166666666665;21;Rainbow
20;10;753;3.57985;28;Rainbow
21;10;753;2.1045666666666665;13;Rainbow
22;11;807;2.3961;15;Rainbow
23;12;874;2.3223;16;Rainbow
24;13;947;1.7536333333333334;13;Rainbow
25;14;1008;1.8154166666666667;17;Rainbow
26;15;1091;2.072216666666667;17;Rainbow
27;16;1148;2.2404;17;Rainbow
28;17;1225;2.36605;18;Rainbow
29;17;1225;1.493;24;Rainbow
30;18;1293;2.141983333333333;17;Rainbow
31;19;1362;1.1371666666666667;10;Rainbow
32;19;1362;2.3348;20;Rainbow
33;20;1442;1.5377;17;Rainbow
34;21;1475;1.3064;9;Rainbow
35;22;1498;1.6746333333333334;17;Rainbow
36;23;1525;1.74295;38;Rainbow
37;23;1525;2.25955;10;Rainbow
38;24;1548;0.8492333333333333;10;Rainbow
39;25;1572;0.7909333333333334;8;Rainbow
40;26;1591;0.9399833333333333;10;Rainbow
41;26;1591;1.3229333333333333;10;Rainbow
42;27;1635;1.0115666666666667;10;Rainbow
43;28;1661;0.95855;8;Rainbow
44;29;1700;1.33685;12;Rainbow
45;30;1727;0.9684833333333334;12;Rainbow
46;30;1727;1.1119833333333333;12;Rainbow
47;31;1749;0.9504333333333334;10;Rainbow
48;32;1792;1.2587;10;Rainbow
49;33;1812;1.1252333333333333;10;Rainbow
50;33;1812;1.68995;13;Rainbow
51;34;1869;0.98595;9;Rainbow
52;34;1869;1.2456;9;Rainbow
53;35;1907;3.584033333333333;20;Rainbow
54;35;1907;3.6006666666666667;21;Rainbow
55;35;1907;3.61495;22;Rainbow
56;36;1940;4.034716666666666;11;Rainbow
57;37;1979;1.4302166666666667;11;Rainbow
58;37;1979;0.96955;9;Rainbow
59;37;1979;1.81985;14;Rainbow
60;37;1979;1.4148333333333334;13;Rainbow
61;37;1979;1.16825;11;Rainbow
62;37;1979;0.99325;15;Rainbow
63;37;1979;1.4154166666666668;16;Rainbow
64;37;1979;1.2306333333333332;11;Rainbow
65;37;1979;3.556583333333333;13;Rainbow
66;38;2107;2.0322833333333334;13;Rainbow
67;39;2217;3.1698833333333334;27;Rainbow
68;40;2360;5.2710333333333335;49;Rainbow
70;42;2514;6.045416666666667;71;Rainbow
71;42;2514;8.648183333333334;38;Rainbow
72;43;2604;9.583366666666667;68;Rainbow
73;44;2742;4.135033333333333;17;Rainbow
74;45;2867;7.46795;63;Rainbow
75;45;2867;7.163516666666666;21;Rainbow
76;45;2867;3.7031833333333335;21;Rainbow
78;46;3012;6.382933333333333;33;Rainbow
79;46;3012;8.0537;7;Rainbow
80;46;3012;8.09375;8;Rainbow
81;47;3062;4.190266666666667;6;Rainbow
82;47;3062;6.023016666666667;29;Rainbow
83;48;3098;2.1816166666666668;9;Rainbow
84;48;3098;1.3786;12;Rainbow
85;48;3098;2.121583333333333;13;Rainbow
86;49;3155;2.0081;13;Rainbow
87;49;3155;3.35535;12;Rainbow
88;49;3155;2.1604833333333335;13;Rainbow
89;50;3176;3.7651833333333333;11;Rainbow
90;51;3210;1.22295;12;Rainbow
91;52;3228;1.6723333333333332;14;Rainbow
92;52;3228;0.9065166666666666;10;Rainbow
93;52;3228;3.46765;13;Rainbow
94;52;3228;1.0167666666666666;9;Rainbow
95;52;3228;1.1977;11;Rainbow
96;53;3268;2.900916666666667;9;Rainbow
97;53;3268;1.8642666666666667;13;Rainbow
98;54;3295;0.7725333333333333;9;Rainbow
99;55;3331;2.5078666666666667;8;Rainbow
100;55;3331;3.626316666666667;9;Rainbow
2;2;402;2.566666666666667;14;Evaluated_Rainbow_Resticted
3;3;463;2.086866666666667;13;Evaluated_Rainbow_Resticted
4;4;521;1.4457666666666666;13;Evaluated_Rainbow_Resticted
5;5;606;2.6869;17;Evaluated_Rainbow_Resticted
6;6;631;2.44655;9;Evaluated_Rainbow_Resticted
7;7;675;2.700633333333333;10;Evaluated_Rainbow_Resticted
8;8;800;3.296466666666667;12;Evaluated_Rainbow_Resticted
9;9;874;2.6818333333333335;12;Evaluated_Rainbow_Resticted
10;10;910;3.1966833333333335;26;Evaluated_Rainbow_Resticted
11;11;929;6.46705;17;Evaluated_Rainbow_Resticted
12;12;1192;1.8366;10;Evaluated_Rainbow_Resticted
13;13;1272;0.9306666666666666;9;Evaluated_Rainbow_Resticted
14;14;1342;8.6632;43;Evaluated_Rainbow_Resticted
15;15;1383;2.4130333333333334;17;Evaluated_Rainbow_Resticted
16;16;1414;2.738566666666667;15;Evaluated_Rainbow_Resticted
17;17;1466;1.3985333333333334;11;Evaluated_Rainbow_Resticted
18;18;1539;1.2896333333333334;9;Evaluated_Rainbow_Resticted
19;19;1589;1.7250666666666667;12;Evaluated_Rainbow_Resticted
20;20;1637;1.6280166666666667;16;Evaluated_Rainbow_Resticted
21;21;1663;5.982866666666666;16;Evaluated_Rainbow_Resticted
22;22;1694;7.117416666666666;12;Evaluated_Rainbow_Resticted
23;23;1725;0.8448333333333333;9;Evaluated_Rainbow_Resticted
24;24;1780;1.805;10;Evaluated_Rainbow_Resticted
25;25;1819;1.0581;10;Evaluated_Rainbow_Resticted
26;26;1844;2.42235;13;Evaluated_Rainbow_Resticted
27;27;1863;0.88295;11;Evaluated_Rainbow_Resticted
28;28;1891;1.1573333333333333;9;Evaluated_Rainbow_Resticted
29;29;2059;0.6328333333333334;9;Evaluated_Rainbow_Resticted
30;30;2081;0.8839333333333333;9;Evaluated_Rainbow_Resticted
33;33;2331;1.0675833333333333;9;Evaluated_Rainbow_Resticted
34;34;2376;4.396316666666666;12;Evaluated_Rainbow_Resticted
36;36;2445;6.329;12;Evaluated_Rainbow_Resticted
37;37;2460;2.3536;14;Evaluated_Rainbow_Resticted
38;38;2490;1.5074666666666667;11;Evaluated_Rainbow_Resticted
39;39;2520;1.09975;11;Evaluated_Rainbow_Resticted
40;40;2537;1.5222833333333334;9;Evaluated_Rainbow_Resticted
41;41;2545;0.9546666666666667;10;Evaluated_Rainbow_Resticted
42;42;2561;0.6261333333333333;10;Evaluated_Rainbow_Resticted
43;43;2580;1.0768;8;Evaluated_Rainbow_Resticted
44;44;2734;0.9756166666666667;10;Evaluated_Rainbow_Resticted
45;45;2756;0.9761333333333333;8;Evaluated_Rainbow_Resticted
46;46;2787;1.1806666666666668;9;Evaluated_Rainbow_Resticted
48;48;2872;1.3520666666666667;12;Evaluated_Rainbow_Resticted
49;49;2897;1.4031666666666667;10;Evaluated_Rainbow_Resticted
50;50;2921;1.2454333333333334;16;Evaluated_Rainbow_Resticted
51;51;2959;1.1241833333333333;20;Evaluated_Rainbow_Resticted
52;52;2968;1.0184666666666666;11;Evaluated_Rainbow_Resticted
53;53;3046;1.2555;13;Evaluated_Rainbow_Resticted
54;54;3072;2.5881666666666665;16;Evaluated_Rainbow_Resticted
55;55;3147;1.4870333333333334;11;Evaluated_Rainbow_Resticted
56;56;3174;4.03985;22;Evaluated_Rainbow_Resticted
57;57;3211;3.8658;10;Evaluated_Rainbow_Resticted
58;58;3228;3.0876;26;Evaluated_Rainbow_Resticted
59;59;3228;1.2218833333333334;10;Evaluated_Rainbow_Resticted
60;60;3272;3.5150166666666665;18;Evaluated_Rainbow_Resticted
61;61;3273;1.36975;10;Evaluated_Rainbow_Resticted
62;62;3273;1.3208833333333334;12;Evaluated_Rainbow_Resticted
63;63;3278;2.1163833333333333;15;Evaluated_Rainbow_Resticted
64;64;3299;1.0694833333333333;9;Evaluated_Rainbow_Resticted
65;65;3299;1.49255;10;Evaluated_Rainbow_Resticted
66;66;3335;0.9964833333333334;10;Evaluated_Rainbow_Resticted
67;67;3335;1.27825;9;Evaluated_Rainbow_Resticted
68;68;3367;1.2785;10;Evaluated_Rainbow_Resticted
69;69;3386;2.6814;15;Evaluated_Rainbow_Resticted
70;70;3386;0.9672666666666667;10;Evaluated_Rainbow_Resticted
71;71;3418;1.1507166666666666;11;Evaluated_Rainbow_Resticted
72;72;3439;1.2561833333333334;12;Evaluated_Rainbow_Resticted
73;73;3533;1.24485;9;Evaluated_Rainbow_Resticted
74;74;3533;1.1492;11;Evaluated_Rainbow_Resticted
75;75;3561;8.6747;16;Evaluated_Rainbow_Resticted
76;76;3587;3.2847333333333335;23;Evaluated_Rainbow_Resticted
77;77;3587;0.97145;10;Evaluated_Rainbow_Resticted
78;78;3626;2.040783333333333;15;Evaluated_Rainbow_Resticted
79;79;3626;1.9436666666666667;15;Evaluated_Rainbow_Resticted
80;80;3626;1.04555;10;Evaluated_Rainbow_Resticted
81;81;3651;2.18495;15;Evaluated_Rainbow_Resticted
82;82;3769;1.1465666666666667;8;Evaluated_Rainbow_Resticted
83;83;3769;0.8988666666666667;8;Evaluated_Rainbow_Resticted
84;84;3789;1.66375;15;Evaluated_Rainbow_Resticted
85;85;3814;4.126333333333333;40;Evaluated_Rainbow_Resticted
86;86;3839;1.0091333333333334;10;Evaluated_Rainbow_Resticted
87;87;3839;1.4326833333333333;9;Evaluated_Rainbow_Resticted
88;88;3839;1.0424166666666668;10;Evaluated_Rainbow_Resticted
89;89;3869;1.0831666666666666;10;Evaluated_Rainbow_Resticted
90;90;3908;1.1179333333333332;10;Evaluated_Rainbow_Resticted
91;91;3962;1.2182333333333333;11;Evaluated_Rainbow_Resticted
92;92;3962;1.2668;11;Evaluated_Rainbow_Resticted
93;93;3962;2.4894833333333333;17;Evaluated_Rainbow_Resticted
94;94;4011;1.4132333333333333;14;Evaluated_Rainbow_Resticted
95;95;4011;1.2526666666666666;10;Evaluated_Rainbow_Resticted
96;96;4011;0.90305;10;Evaluated_Rainbow_Resticted
97;97;4011;2.300133333333333;19;Evaluated_Rainbow_Resticted
98;98;4011;0.8727333333333334;10;Evaluated_Rainbow_Resticted
99;99;4038;0.9806333333333334;10;Evaluated_Rainbow_Resticted
100;100;4038;0.88215;10;Evaluated_Rainbow_Resticted